Time,P_real,P_uoc
1/4/2025 3:30,0,0
1/4/2025 3:40,0,0
1/4/2025 3:50,0,0
1/4/2025 4:00,0,0
1/4/2025 4:10,0,0
1/4/2025 4:20,0,0
1/4/2025 4:30,0,0
1/4/2025 4:40,0,0
1/4/2025 4:50,0,0
1/4/2025 5:00,0,0
1/4/2025 5:10,0,0
1/4/2025 5:20,0,0
1/4/2025 5:30,0,0.1159331466783488
1/4/2025 5:40,0,0.2318662933566976
1/4/2025 5:50,0,0.34779944003504637
1/4/2025 6:00,0,0.6085311859654912
1/4/2025 6:10,0,0.6013148228220544
1/4/2025 6:20,0.2786612,0.2786612
1/4/2025 6:30,0.838082,0.838082
1/4/2025 6:40,1.3833233999999999,1.3833233999999999
1/4/2025 6:50,1.9493116000000001,1.9493116000000001
1/4/2025 7:00,2.4761625,2.4761625
1/4/2025 7:10,2.7887382,2.7887382
1/4/2025 7:20,3.2966906000000002,3.2966906000000002
1/4/2025 7:30,4.2047054,4.2047054
1/4/2025 7:40,4.9507964,4.9507964
1/4/2025 7:50,5.8296252,5.8296252
1/4/2025 8:00,6.38171,6.38171
1/4/2025 8:10,6.572690199999999,6.572690199999999
1/4/2025 8:20,7.3720342,7.3720342
1/4/2025 8:30,11.708333,11.708333
1/4/2025 8:40,21.9672874,21.9672874
1/4/2025 8:50,26.2072514,26.2072514
1/4/2025 9:00,24.5856282,24.5856282
1/4/2025 9:10,25.3558214,25.3558214
1/4/2025 9:20,21.694809,21.694809
1/4/2025 9:30,29.708391799999998,29.708391799999998
1/4/2025 9:40,30.1860692,30.1860692
1/4/2025 9:50,33.5959786,33.5959786
1/4/2025 10:00,32.6647598,32.715707166575285
1/4/2025 10:10,24.1481786,25.701757132880243
1/4/2025 10:20,25.720096599999998,25.720096599999998
1/4/2025 10:30,30.7923386,30.7923386
1/4/2025 10:40,36.291275,36.291275
1/4/2025 10:50,36.1029274,36.1029274
1/4/2025 11:00,36.2030892,36.2030892
1/4/2025 11:10,37.0365148,37.0365148
1/4/2025 11:20,37.13226,37.13226
1/4/2025 11:30,35.006381399999995,35.006381399999995
1/4/2025 11:40,34.100939800000006,34.416786908714776
1/4/2025 11:50,34.4790756,34.59604851777553
1/4/2025 12:00,32.8861728,34.114869817978956
1/4/2025 12:10,34.242104999999995,34.853028641658085
1/4/2025 12:20,34.3326078,34.96948144529664
1/4/2025 12:30,35.0689072,35.13730371235333
1/4/2025 12:40,36.2113624,36.2113624
1/4/2025 12:50,34.585073799999996,34.585073799999996
1/4/2025 13:00,32.4869976,33.49851254721954
1/4/2025 13:10,31.664340399999997,32.68324922038327
1/4/2025 13:20,34.5185938,34.5185938
1/4/2025 13:30,34.0031188,34.0031188
1/4/2025 13:40,33.129385400000004,33.129385400000004
1/4/2025 13:50,32.6232342,32.6232342
1/4/2025 14:00,30.766193199999996,30.879023266300585
1/4/2025 14:10,30.3059086,30.3059086
1/4/2025 14:20,29.4802162,29.4802162
1/4/2025 14:30,25.183452199999998,25.183452199999998
1/4/2025 14:40,26.238213000000002,26.238213000000002
1/4/2025 14:50,26.755283600000002,26.755283600000002
1/4/2025 15:00,18.502782200000002,18.502782200000002
1/4/2025 15:10,23.549608999999997,23.549608999999997
1/4/2025 15:20,22.2411192,22.2411192
1/4/2025 15:30,20.9854904,20.9854904
1/4/2025 15:40,16.5483359,16.5483359
1/4/2025 15:50,14.675991199999999,14.675991199999999
1/4/2025 16:00,13.6977618,13.6977618
1/4/2025 16:10,12.7633806,12.7633806
1/4/2025 16:20,11.031647799999998,11.031647799999998
1/4/2025 16:30,9.4112268,9.4112268
1/4/2025 16:40,6.7867536,6.7867536
1/4/2025 16:50,4.475353,4.475353
1/4/2025 17:00,3.3906376000000003,3.3906376000000003
1/4/2025 17:10,2.3510967999999997,2.3510967999999997
1/4/2025 17:20,1.4566366,1.4566366
1/4/2025 17:30,0.5992767999999999,0.5992767999999999
1/4/2025 17:40,0.2601718,0.2601718
1/4/2025 17:50,0.1488662,0.1488662
1/4/2025 18:00,0,0
1/4/2025 18:10,0,0.4637325867133952
1/4/2025 18:20,0,0
1/4/2025 18:30,0,0
1/4/2025 18:40,0,0
1/4/2025 18:50,0,0
1/4/2025 19:00,0,0
1/4/2025 19:10,0,0
1/4/2025 19:20,0,0
1/4/2025 19:30,0,0
1/4/2025 19:40,0,0
1/4/2025 19:50,0,0
1/4/2025 20:00,0,0
1/4/2025 20:10,0,0
1/4/2025 20:20,0,0
1/4/2025 20:30,0,0
1/4/2025 20:40,0,0
1/4/2025 20:50,0,0
1/4/2025 21:00,0,0
1/4/2025 21:10,0,0
1/4/2025 21:20,0,0
1/4/2025 21:30,0,0
1/4/2025 21:40,0,0
1/4/2025 21:50,0,0
1/4/2025 22:00,0,0
1/4/2025 22:10,0,0
1/4/2025 22:20,0,0
1/4/2025 22:30,0,0
1/4/2025 22:40,0,0
1/4/2025 22:50,0,0
1/4/2025 23:00,0,0
1/4/2025 23:10,0,0
1/4/2025 23:20,0,0
1/4/2025 23:30,0,0
1/4/2025 23:40,0,0
1/4/2025 23:50,0,0
1/5/2025 0:00,0,0
1/5/2025 0:10,0,0
1/5/2025 0:20,0,0
1/5/2025 0:30,0,0
1/5/2025 0:40,0,0
1/5/2025 0:50,0,0
1/5/2025 1:00,0,0
1/5/2025 1:10,0,0
1/5/2025 1:20,0,0
1/5/2025 1:30,0,0
1/5/2025 1:40,0,0
1/5/2025 1:50,0,0
1/5/2025 2:00,0,0
1/5/2025 2:10,0,0
1/5/2025 2:20,0,0
1/5/2025 2:30,0,0
1/5/2025 2:40,0,0
1/5/2025 2:50,0,0
1/5/2025 3:00,0,0
1/5/2025 3:10,0,0
1/5/2025 3:20,0,0
1/5/2025 3:30,0,0
1/5/2025 3:40,0,0
1/5/2025 3:50,0,0
1/5/2025 4:00,0,0
1/5/2025 4:10,0,0
1/5/2025 4:20,0,0
1/5/2025 4:30,0,0
1/5/2025 4:40,0,0
1/5/2025 4:50,0,0
1/5/2025 5:00,0,0
1/5/2025 5:10,0,0
1/5/2025 5:20,0,0
1/5/2025 5:30,0,0
1/5/2025 5:40,0,0
1/5/2025 5:50,0,0
1/5/2025 6:00,0,0
1/5/2025 6:10,0,0
1/5/2025 6:20,0.1351804,0.1351804
1/5/2025 6:30,0.7919280000000001,0.7919280000000001
1/5/2025 6:40,1.0737496,1.0737496
1/5/2025 6:50,1.352767,1.352767
1/5/2025 7:00,1.9837732000000003,1.9837732000000003
1/5/2025 7:10,3.4495674000000003,3.4495674000000003
1/5/2025 7:20,5.4001934,5.4001934
1/5/2025 7:30,8.731359600000001,8.731359600000001
1/5/2025 7:40,11.9864922,11.9864922
1/5/2025 7:50,13.4535522,13.4535522
1/5/2025 8:00,15.2534832,15.2534832
1/5/2025 8:10,17.816402,17.816402
1/5/2025 8:20,19.145189199999997,19.145189199999997
1/5/2025 8:30,22.1078636,22.1078636
1/5/2025 8:40,23.9581718,23.9581718
1/5/2025 8:50,20.596536,22.14485828627809
1/5/2025 9:00,23.002118799999998,25.239013995199578
1/5/2025 9:10,27.179255,27.179255
1/5/2025 9:20,29.3220254,29.594115851682204
1/5/2025 9:30,27.699939,28.149924512767846
1/5/2025 9:40,27.4719156,27.4719156
1/5/2025 9:50,28.193350199999998,28.193350199999998
1/5/2025 10:00,26.155053399999996,26.49394811819004
1/5/2025 10:10,26.0617018,26.0617018
1/5/2025 10:20,24.6018056,24.6018056
1/5/2025 10:30,22.4501642,25.16581496308092
1/5/2025 10:40,20.9051492,26.306000339743935
1/5/2025 10:50,20.5360954,25.079218605359678
1/5/2025 11:00,18.5279672,22.632871499734602
1/5/2025 11:10,17.676748,23.253478730070167
1/5/2025 11:20,17.0646314,21.05970433446538
1/5/2025 11:30,14.5692624,20.74940072
1/5/2025 11:40,13.7349784,18.63500631827062
1/5/2025 11:50,12.958685400000002,17.53090275732479
1/5/2025 12:00,10.445421999999999,18.425731787110948
1/5/2025 12:10,9.034855199999999,20.61228982
1/5/2025 12:20,9.2798348,26.154456713731765
1/5/2025 12:30,10.912586600000001,32.115172670210555
1/5/2025 12:40,11.5373378,33.30587258887763
1/5/2025 12:50,12.220416199999999,32.38217810651772
